..\Mods\@RHSAFRF\rhs_2s1,2,	class rhs_2s1
..\Mods\@RHSSAF\rhssaf_c_weapons,820,	class rhssaf_weapon_g36c: rhssaf_weapon_m21a;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,821,	class rhssaf_weapon_g36kv: rhssaf_weapon_g36c;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,822,	class rhssaf_weapon_g36kv_ag36: rhssaf_weapon_g36c;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,823,	class rhssaf_weapon_m80: rhssaf_weapon_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,824,	class WeaponHolder_Single_limited_item_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,825,	class rhssaf_magazine_base: WeaponHolder_Single_limited_item_F
..\Mods\@RHSSAF\rhssaf_c_weapons,829,	class rhssaf_magazine_rhssaf_mag_br_m75: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,830,	class rhssaf_magazine_rhssaf_mag_br_m84: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,831,	class rhssaf_magazine_rhssaf_mag_rshb_p98: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,832,	class rhssaf_magazine_rhssaf_mag_brz_m88: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,833,	class rhssaf_magazine_rhssaf_mag_brd_m83_white: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,834,	class rhssaf_magazine_rhssaf_mag_brd_m83_green: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,835,	class rhssaf_magazine_rhssaf_mag_brd_m83_red: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,836,	class rhssaf_magazine_rhssaf_mag_brd_m83_yellow: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,837,	class rhssaf_magazine_rhssaf_mag_brd_m83_blue: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,838,	class rhssaf_magazine_rhssaf_mag_brd_m83_orange: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,839,	class rhssaf_magazine_rhssaf_mag_brk_m79: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,840,	class rhssaf_magazine_rhsgref_20rnd_765x17_vz61: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,841,	class rhssaf_magazine_rhsgref_10rnd_765x17_vz61: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,842,	class rhssaf_magazine_rhssaf_mag_15Rnd_9x19_FMJ: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,843,	class rhssaf_magazine_rhssaf_mag_15Rnd_9x19_JHP: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,844,	class rhssaf_magazine_rhsgref_30rnd_556x45_m21: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,845,	class rhssaf_magazine_rhsgref_30rnd_556x45_m21_t: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,846,	class rhssaf_magazine_rhssaf_30rnd_556x45_EPR_G36: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,847,	class rhssaf_magazine_rhssaf_30rnd_556x45_SOST_G36: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,848,	class rhssaf_magazine_rhssaf_30rnd_556x45_SPR_G36: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,849,	class rhssaf_magazine_rhssaf_100rnd_556x45_EPR_G36: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,850,	class rhssaf_magazine_rhssaf_30rnd_556x45_Tracers_G36: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,851,	class rhssaf_magazine_rhssaf_30rnd_556x45_TDIM_G36: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,852,	class rhssaf_magazine_rhssaf_30rnd_556x45_MDIM_G36: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,853,	class rhssaf_magazine_rhssaf_30Rnd_762x39mm_M67: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,854,	class rhssaf_magazine_rhssaf_30Rnd_762x39mm_M78_tracer: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,855,	class rhssaf_magazine_rhssaf_30Rnd_762x39_M82_api: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,856,	class rhssaf_magazine_rhsgref_10Rnd_792x57_m76: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,857,	class rhssaf_magazine_rhssaf_10Rnd_792x57_m76_tracer: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,858,	class rhssaf_magazine_rhssaf_250Rnd_762x54R: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,859,	class rhssaf_magazine_rhssaf_mine_pma3_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,860,	class rhssaf_magazine_rhssaf_mine_tma4_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,861,	class rhssaf_magazine_rhssaf_mine_mrud_a_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,862,	class rhssaf_magazine_rhssaf_mine_mrud_b_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,863,	class rhssaf_magazine_rhssaf_mine_mrud_c_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,864,	class rhssaf_magazine_rhssaf_mine_mrud_d_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,865,	class rhssaf_magazine_rhssaf_tm100_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,866,	class rhssaf_magazine_rhssaf_tm200_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,867,	class rhssaf_magazine_rhssaf_tm500_mag: rhssaf_magazine_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,868,	class MineBase;
..\Mods\@RHSSAF\rhssaf_c_weapons,869,	class rhssaf_mine_pma3: MineBase
..\Mods\@RHSSAF\rhssaf_c_weapons,874,	class rhssaf_mine_tma4: MineBase
..\Mods\@RHSSAF\rhssaf_c_weapons,879,	class rhssaf_mine_mrud_a: MineBase
..\Mods\@RHSSAF\rhssaf_c_weapons,884,	class rhssaf_mine_mrud_b: MineBase
..\Mods\@RHSSAF\rhssaf_c_weapons,889,	class rhssaf_mine_mrud_c: MineBase
..\Mods\@RHSSAF\rhssaf_c_weapons,894,	class rhssaf_mine_mrud_d: rhssaf_mine_mrud_a
..\Mods\@RHSSAF\rhssaf_c_weapons,899,	class rhssaf_tm100: MineBase
..\Mods\@RHSSAF\rhssaf_c_weapons,904,	class rhssaf_tm200: rhssaf_tm100
..\Mods\@RHSSAF\rhssaf_c_weapons,909,	class rhssaf_tm500: rhssaf_tm100
..\Mods\@RHSSAF\rhssaf_c_weapons,914,	class Site_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,915,	class Site_Minefield: Site_F
..\Mods\@RHSSAF\rhssaf_c_weapons,945,	class LandVehicle;
..\Mods\@RHSSAF\rhssaf_c_weapons,946,	class StaticWeapon: LandVehicle
..\Mods\@RHSSAF\rhssaf_c_weapons,954,	class StaticMortar: StaticWeapon;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,955,	class rhs_m70c_60mm_base: StaticMortar
..\Mods\@RHSSAF\rhssaf_c_weapons,1010,	class rhs_m70c_60mm_army: rhs_m70c_60mm_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1018,	class Item_Base_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,1019,	class Item_rhssaf_zrak_rd7j: Item_Base_F
..\Mods\@RHSSAF\rhssaf_c_weapons,1026,	class recoil_default;
..\Mods\@RHSSAF\rhssaf_c_weapons,1027,	class rhs_recoil_g36: recoil_default
..\Mods\@RHSSAF\rhssaf_c_weapons,1036,	class ItemCore;
..\Mods\@RHSSAF\rhssaf_c_weapons,1037,	class InventoryItem_Base_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,1038,	class InventoryMuzzleItem_Base_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,1039,	class InventoryFlashLightItem_Base_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,1040,	class InventoryOpticsItem_Base_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,1041,	class Rifle;
..\Mods\@RHSSAF\rhssaf_c_weapons,1042,	class Rifle_Base_F: Rifle
..\Mods\@RHSSAF\rhssaf_c_weapons,1048,	class Pistol;
..\Mods\@RHSSAF\rhssaf_c_weapons,1049,	class Pistol_Base_F: Pistol
..\Mods\@RHSSAF\rhssaf_c_weapons,1054,	class SMG_01_Base;
..\Mods\@RHSSAF\rhssaf_c_weapons,1055,	class SMG_01_F: SMG_01_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1062,	class Rifle_Long_Base_F: Rifle_Base_F
..\Mods\@RHSSAF\rhssaf_c_weapons,1066,	class EBR_base_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,1067,	class srifle_EBR_F: EBR_base_F
..\Mods\@RHSSAF\rhssaf_c_weapons,1072,	class UGL_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,1073,	class GP25_Base: UGL_F
..\Mods\@RHSSAF\rhssaf_c_weapons,1077,	class RHS_SAFE_BASE;
..\Mods\@RHSSAF\rhssaf_c_weapons,1078,	class PBG40_Base: GP25_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1112,	class RifleGrenade_Base: GP25_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1125,	class rhs_weap_m70_base: Rifle_Base_F
..\Mods\@RHSSAF\rhssaf_c_weapons,1165,	class rhs_weap_m70ab2: rhs_weap_m70_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1181,	class rhs_weap_m70ab2_fold: rhs_weap_m70ab2
..\Mods\@RHSSAF\rhssaf_c_weapons,1190,	class rhs_weap_m70b1: rhs_weap_m70ab2
..\Mods\@RHSSAF\rhssaf_c_weapons,1199,	class rhs_weap_m70b1n: rhs_weap_m70ab2
..\Mods\@RHSSAF\rhssaf_c_weapons,1208,	class rhs_weap_m70b3n: rhs_weap_m70ab2
..\Mods\@RHSSAF\rhssaf_c_weapons,1217,	class rhs_weap_m70b3n_pbg40: rhs_weap_m70ab2
..\Mods\@RHSSAF\rhssaf_c_weapons,1226,	class rhs_weap_m92: rhs_weap_m70_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1250,	class rhs_weap_m92_fold: rhs_weap_m92
..\Mods\@RHSSAF\rhssaf_c_weapons,1259,	class rhs_weap_m76: rhs_weap_m70_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1283,	class rhs_weap_m21_base: rhs_weap_m70_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1323,	class rhs_weap_m21a: rhs_weap_m21_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1328,	class rhs_weap_m21a_pr: rhs_weap_m21_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1337,	class rhs_weap_m21a_pr_pbg40: rhs_weap_m21_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1346,	class rhs_weap_m21a_fold: rhs_weap_m21a
..\Mods\@RHSSAF\rhssaf_c_weapons,1355,	class rhs_weap_m21a_pbg40: rhs_weap_m21a
..\Mods\@RHSSAF\rhssaf_c_weapons,1364,	class rhs_weap_m21a_pbg40_fold: rhs_weap_m21a_pbg40
..\Mods\@RHSSAF\rhssaf_c_weapons,1373,	class rhs_weap_m21s: rhs_weap_m21_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1391,	class rhs_weap_m21s_pr: rhs_weap_m21a_pr
..\Mods\@RHSSAF\rhssaf_c_weapons,1408,	class rhs_weap_m21s_fold: rhs_weap_m21s
..\Mods\@RHSSAF\rhssaf_c_weapons,1417,	class rhs_weap_M107;
..\Mods\@RHSSAF\rhssaf_c_weapons,1418,	class rhs_weap_m82a1: rhs_weap_M107
..\Mods\@RHSSAF\rhssaf_c_weapons,1422,	class rhs_weap_scorpion: SMG_01_F
..\Mods\@RHSSAF\rhssaf_c_weapons,1449,	class rhs_weap_ag36_base: UGL_F
..\Mods\@RHSSAF\rhssaf_c_weapons,1512,	class rhs_weap_g36_base: Rifle_Base_F
..\Mods\@RHSSAF\rhssaf_c_weapons,1605,	class rhs_weap_g36c: rhs_weap_g36_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1635,	class rhs_weap_g36c_grip1: rhs_weap_g36c;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,1636,	class rhs_weap_g36c_grip2: rhs_weap_g36c;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,1637,	class rhs_weap_g36c_grip3: rhs_weap_g36c;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,1638,	class rhs_weap_g36kv: rhs_weap_g36_base
..\Mods\@RHSSAF\rhssaf_c_weapons,1655,	class rhs_weap_g36kv_grip1: rhs_weap_g36kv;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,1656,	class rhs_weap_g36kv_grip2: rhs_weap_g36kv;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,1657,	class rhs_weap_g36kv_grip3: rhs_weap_g36kv;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,1658,	class rhs_weap_g36kv_ag36: rhs_weap_g36kv
..\Mods\@RHSSAF\rhssaf_c_weapons,1671,	class rhs_weap_SCAR_H_Base;
..\Mods\@RHSSAF\rhssaf_c_weapons,1672,	class rhs_weap_SCAR_H_CQC_Base: rhs_weap_SCAR_H_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1678,	class rhs_weap_SCAR_H_STD_Base: rhs_weap_SCAR_H_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1684,	class rhs_weap_SCAR_H_LB_Base: rhs_weap_SCAR_H_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1690,	class rhs_weap_SCARH_CQC: rhs_weap_SCAR_H_CQC_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1703,	class rhs_weap_SCARH_CQC_grip: rhs_weap_SCARH_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1707,	class rhs_weap_SCARH_CQC_grip2: rhs_weap_SCARH_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1711,	class rhs_weap_SCARH_CQC_grip3: rhs_weap_SCARH_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1715,	class rhs_weap_SCARH_STD: rhs_weap_SCAR_H_STD_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1728,	class rhs_weap_SCARH_STD_grip: rhs_weap_SCARH_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1732,	class rhs_weap_SCARH_STD_grip2: rhs_weap_SCARH_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1736,	class rhs_weap_SCARH_STD_grip3: rhs_weap_SCARH_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1740,	class rhs_weap_SCARH_LB: rhs_weap_SCAR_H_LB_Base
..\Mods\@RHSSAF\rhssaf_c_weapons,1753,	class rhs_weap_SCARH_LB_grip: rhs_weap_SCARH_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1757,	class rhs_weap_SCARH_LB_grip2: rhs_weap_SCARH_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1761,	class rhs_weap_SCARH_LB_grip3: rhs_weap_SCARH_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1765,	class rhs_weap_SCARH_FDE_CQC: rhs_weap_SCARH_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1770,	class rhs_weap_SCARH_FDE_CQC_grip: rhs_weap_SCARH_FDE_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1774,	class rhs_weap_SCARH_FDE_CQC_grip2: rhs_weap_SCARH_FDE_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1778,	class rhs_weap_SCARH_FDE_CQC_grip3: rhs_weap_SCARH_FDE_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1782,	class rhs_weap_SCARH_FDE_STD: rhs_weap_SCARH_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1787,	class rhs_weap_SCARH_FDE_STD_grip: rhs_weap_SCARH_FDE_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1791,	class rhs_weap_SCARH_FDE_STD_grip2: rhs_weap_SCARH_FDE_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1795,	class rhs_weap_SCARH_FDE_STD_grip3: rhs_weap_SCARH_FDE_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1799,	class rhs_weap_SCARH_FDE_LB: rhs_weap_SCARH_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1804,	class rhs_weap_SCARH_FDE_LB_grip: rhs_weap_SCARH_FDE_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1808,	class rhs_weap_SCARH_FDE_LB_grip2: rhs_weap_SCARH_FDE_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1812,	class rhs_weap_SCARH_FDE_LB_grip3: rhs_weap_SCARH_FDE_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1816,	class rhs_weap_SCARH_CQC_Folded: rhs_weap_SCARH_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1828,	class rhs_weap_SCARH_CQC_Folded_grip: rhs_weap_SCARH_CQC_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1832,	class rhs_weap_SCARH_CQC_Folded_grip2: rhs_weap_SCARH_CQC_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1836,	class rhs_weap_SCARH_CQC_Folded_grip3: rhs_weap_SCARH_CQC_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1840,	class rhs_weap_SCARH_STD_Folded: rhs_weap_SCARH_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1852,	class rhs_weap_SCARH_STD_Folded_grip: rhs_weap_SCARH_STD_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1856,	class rhs_weap_SCARH_STD_Folded_grip2: rhs_weap_SCARH_STD_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1860,	class rhs_weap_SCARH_STD_Folded_grip3: rhs_weap_SCARH_STD_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1864,	class rhs_weap_SCARH_LB_Folded: rhs_weap_SCARH_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1876,	class rhs_weap_SCARH_LB_Folded_grip: rhs_weap_SCARH_LB_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1880,	class rhs_weap_SCARH_LB_Folded_grip2: rhs_weap_SCARH_LB_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1884,	class rhs_weap_SCARH_LB_Folded_grip3: rhs_weap_SCARH_LB_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1888,	class rhs_weap_SCARH_FDE_CQC_Folded: rhs_weap_SCARH_FDE_CQC
..\Mods\@RHSSAF\rhssaf_c_weapons,1900,	class rhs_weap_SCARH_FDE_CQC_Folded_grip: rhs_weap_SCARH_FDE_CQC_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1904,	class rhs_weap_SCARH_FDE_CQC_Folded_grip2: rhs_weap_SCARH_FDE_CQC_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1908,	class rhs_weap_SCARH_FDE_CQC_Folded_grip3: rhs_weap_SCARH_FDE_CQC_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1912,	class rhs_weap_SCARH_FDE_STD_Folded: rhs_weap_SCARH_FDE_STD
..\Mods\@RHSSAF\rhssaf_c_weapons,1924,	class rhs_weap_SCARH_FDE_STD_Folded_grip: rhs_weap_SCARH_FDE_STD_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1928,	class rhs_weap_SCARH_FDE_STD_Folded_grip2: rhs_weap_SCARH_FDE_STD_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1932,	class rhs_weap_SCARH_FDE_STD_Folded_grip3: rhs_weap_SCARH_FDE_STD_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1936,	class rhs_weap_SCARH_FDE_LB_Folded: rhs_weap_SCARH_FDE_LB
..\Mods\@RHSSAF\rhssaf_c_weapons,1948,	class rhs_weap_SCARH_FDE_LB_Folded_grip: rhs_weap_SCARH_FDE_LB_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1952,	class rhs_weap_SCARH_FDE_LB_Folded_grip2: rhs_weap_SCARH_FDE_LB_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1956,	class rhs_weap_SCARH_FDE_LB_Folded_grip3: rhs_weap_SCARH_FDE_LB_Folded
..\Mods\@RHSSAF\rhssaf_c_weapons,1960,	class rhs_weap_m84: Rifle_Long_Base_F
..\Mods\@RHSSAF\rhssaf_c_weapons,2034,	class rhs_weap_lmg_minimipara;
..\Mods\@RHSSAF\rhssaf_c_weapons,2035,	class rhs_weap_minimi_para_railed: rhs_weap_lmg_minimipara
..\Mods\@RHSSAF\rhssaf_c_weapons,2046,	class rhs_weap_minimi_para_railed_vfg1: rhs_weap_minimi_para_railed
..\Mods\@RHSSAF\rhssaf_c_weapons,2055,	class rhs_weap_minimi_para_railed_vfg2: rhs_weap_minimi_para_railed
..\Mods\@RHSSAF\rhssaf_c_weapons,2064,	class rhs_weap_minimi_para_railed_vfg3: rhs_weap_minimi_para_railed
..\Mods\@RHSSAF\rhssaf_c_weapons,2073,	class rhs_weap_minimi_para_railed_folded: rhs_weap_minimi_para_railed
..\Mods\@RHSSAF\rhssaf_c_weapons,2082,	class rhs_weap_minimi_para_railed_folded_vfg1: rhs_weap_minimi_para_railed_folded
..\Mods\@RHSSAF\rhssaf_c_weapons,2091,	class rhs_weap_minimi_para_railed_folded_vfg2: rhs_weap_minimi_para_railed_folded
..\Mods\@RHSSAF\rhssaf_c_weapons,2100,	class rhs_weap_minimi_para_railed_folded_vfg3: rhs_weap_minimi_para_railed_folded
..\Mods\@RHSSAF\rhssaf_c_weapons,2109,	class Launcher;
..\Mods\@RHSSAF\rhssaf_c_weapons,2110,	class Launcher_Base_F: Launcher
..\Mods\@RHSSAF\rhssaf_c_weapons,2115,	class rhs_weap_m80: Launcher_Base_F
..\Mods\@RHSSAF\rhssaf_c_weapons,2145,	class rhs_weap_m80_used: rhs_weap_m80
..\Mods\@RHSSAF\rhssaf_c_weapons,2157,	class hgun_P07_F;
..\Mods\@RHSSAF\rhssaf_c_weapons,2158,	class rhs_weap_cz99: hgun_P07_F
..\Mods\@RHSSAF\rhssaf_c_weapons,2177,	class rhs_acc_scope_base: ItemCore
..\Mods\@RHSSAF\rhssaf_c_weapons,2185,	class rhs_acc_mtz: rhs_acc_scope_base;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2186,	class rhs_weap_m21s_eo: rhs_weap_m21s_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2187,	class rhs_weap_m21a_pr_aco: rhs_weap_m21a_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2188,	class rhs_weap_m21a_pkas: rhs_weap_m21a;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2189,	class rhs_weap_m21s_pkas: rhs_weap_m21s;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2190,	class rhs_weap_m21a_pr_mrco: rhs_weap_m21a_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2191,	class rhs_weap_m21a_pr_hamr: rhs_weap_m21a_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2192,	class rhs_weap_m21a_pr_sos: rhs_weap_m21a_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2193,	class rhs_weap_m21s_pr_aco: rhs_weap_m21s_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2194,	class rhs_weap_m21s_pr_mrco: rhs_weap_m21s_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2195,	class rhs_weap_m21s_pr_hamr: rhs_weap_m21s_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2196,	class rhs_weap_m21s_pr_sos: rhs_weap_m21s_pr;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2197,	class rhs_weap_m76_pso: rhs_weap_m76;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2198,	class rhs_weap_minimi_para_railed_eot552_m952v_sfmb: rhs_weap_minimi_para_railed;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2199,	class rhs_weap_g36c_compm4: rhs_weap_g36c;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2200,	class rhs_weap_g36c_grip3_eo: rhs_weap_g36c_grip3;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2201,	class rhs_weap_g36kv_compm4: rhs_weap_g36kv;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2202,	class rhs_weap_g36kv_ag36_eo: rhs_weap_g36kv_ag36;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2203,	class rhs_weap_g36kv_grip3_eo: rhs_weap_g36kv_grip3;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2204,	class rhs_weap_m82a1_leu: rhs_weap_m82a1;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2205,	class rhs_weap_hk416d10;
..\Mods\@RHSSAF\rhssaf_c_weapons,2206,	class rhs_weap_hk416d10_compm4: rhs_weap_hk416d10;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2207,	class rhs_weap_SCARH_STD_grip2_su230a: rhs_weap_SCARH_STD_grip2;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2208,	class rhs_weap_SCARH_LB_bipod_m8541: rhs_weap_SCARH_LB;  //found empty after stripping
..\Mods\@RHSSAF\rhssaf_c_weapons,2209,	class Default;
..\Mods\@RHSSAF\rhssaf_c_weapons,2210,	class Put: Default
..\Mods\@RHSSAF\rhssaf_c_weapons,2253,	class GrenadeLauncher;
..\Mods\@RHSSAF\rhssaf_c_weapons,2254,	class Throw: GrenadeLauncher
..\Mods\@RHSSAF\rhssaf_c_weapons,2336,	class CannonCore;
